dam_name, timetsep, water_level
dam01,0,1200
dam02,0,600
dam03,0,766
dam01,1,1200
dam02,1,600
dam03,1,766
dam01,2,1200
dam02,2,600
dam03,2,766
dam01,3,1200
dam02,3,600
dam03,3,766
dam01,4,1200
dam02,4,600
dam03,4,766
dam01,5,1200
dam02,5,600
dam03,5,766
dam01,6,1200
dam02,6,600
dam03,6,766
dam01,7,1200
dam02,7,600
dam03,7,766
dam01,8,1200
dam02,8,600
dam03,8,766
dam01,9,1200
dam02,9,600
dam03,9,766
dam01,10,1200
dam02,10,633
dam03,10,683
dam01,11,1200
dam02,11,633
dam03,11,683
dam01,12,1200
dam02,12,633
dam03,12,683
dam01,13,1200
dam02,13,633
dam03,13,683
dam01,14,1200
dam02,14,633
dam03,14,683
dam01,15,1200
dam02,15,633
dam03,15,683
dam01,16,1200
dam02,16,633
dam03,16,683
dam01,17,1200
dam02,17,633
dam03,17,683
dam01,18,1200
dam02,18,633
dam03,18,683
dam01,19,1200
dam02,19,633
dam03,19,683
dam01,20,1200
dam02,20,600
dam03,20,688
dam01,21,1200
dam02,21,600
dam03,21,688
dam01,22,1200
dam02,22,600
dam03,22,688
dam01,23,1200
dam02,23,600
dam03,23,688
dam01,24,1200
dam02,24,600
dam03,24,688
dam01,25,1200
dam02,25,600
dam03,25,688
dam01,26,1200
dam02,26,600
dam03,26,688
dam01,27,1200
dam02,27,600
dam03,27,688
dam01,28,1200
dam02,28,600
dam03,28,688
dam01,29,1200
dam02,29,600
dam03,29,688
dam01,30,1200
dam02,30,535
dam03,30,685
dam01,31,1200
dam02,31,535
dam03,31,685
dam01,32,1200
dam02,32,535
dam03,32,685
dam01,33,1200
dam02,33,535
dam03,33,685
dam01,34,1200
dam02,34,535
dam03,34,685
dam01,35,1200
dam02,35,535
dam03,35,685
dam01,36,1200
dam02,36,535
dam03,36,685
dam01,37,1200
dam02,37,535
dam03,37,685
dam01,38,1200
dam02,38,535
dam03,38,685
dam01,39,1200
dam02,39,535
dam03,39,685
dam01,40,1200
dam02,40,566
dam03,40,609
dam01,41,1200
dam02,41,566
dam03,41,609
dam01,42,1200
dam02,42,566
dam03,42,609
dam01,43,1200
dam02,43,566
dam03,43,609
dam01,44,1200
dam02,44,566
dam03,44,609
dam01,45,1200
dam02,45,566
dam03,45,609
dam01,46,1200
dam02,46,566
dam03,46,609
dam01,47,1200
dam02,47,566
dam03,47,609
dam01,48,1200
dam02,48,566
dam03,48,609
dam01,49,1200
dam02,49,566
dam03,49,609
dam01,50,1200
dam02,50,540
dam03,50,613
dam01,51,1200
dam02,51,540
dam03,51,613
dam01,52,1200
dam02,52,540
dam03,52,613
dam01,53,1200
dam02,53,540
dam03,53,613
